Name,Pass_Efficiency_Score,Rush_Efficiency_Score,Experience_Score,Measurables_Score,Cluster,Round,size
Todd Husak,-0.920166348643677,-0.6686630640521529,-0.9523557755566376,-0.6923964568779688,Group 2,6,0.4564354645876384
Jarious Jackson,0.44076965126463824,1.355544768284874,-0.9257889995916019,-0.6199823253613389,Group 2,7,0.4225771273642583
Brock Huard,-0.5879048156155358,-0.49577073576487213,-1.0516323044505547,0.49959058741682605,Group 2,3,0.6454972243679028
Aaron Brooks,-0.6601935491150678,0.9242984245556081,-0.8358743166784054,0.08420822717225021,Group 2,4,0.5590169943749475
Scott Covington,-0.4662143207156131,-0.17515750214244655,-1.6576582765657837,-0.9624457814626985,Group 2,7,0.4225771273642583
Ingle Martin,0.12526820978374875,0.7368970131630168,-2.2703413381097914,-0.2782341899536635,Group 2,5,0.5
Ryan Fitzpatrick,0.23301173806503117,0.9711006580230674,-1.0630513482430841,0.5919067319465435,Group 2,7,0.4225771273642583
Brian St. Pierre,-0.6987062644917373,0.390385051229362,-0.6608971713621887,-0.3139009228677015,Group 2,5,0.5
Chris Simms,-0.08413309816675747,-0.3661737848404025,-0.598705579505605,0.48727827076603014,Group 3,3,0.6454972243679028
Levi Brown,-0.06362749819836852,-0.7489014358301814,-0.7753935013385858,0.22765576208324154,Group 3,7,0.4225771273642583
Kyle Orton,-0.7578108638068585,-0.2770958806538445,0.6972843008183752,0.41177002104811394,Group 3,4,0.5590169943749475
Daunte Culpepper,0.960448897330862,0.4945193604365522,0.6121846545631546,1.286448709992228,Group 3,1,1.118033988749895
Tony Pike,0.12741478730470004,-0.4467602361961441,-1.0902657002639324,1.0717921368861394,Group 3,6,0.4564354645876384
Ryan Mallett,0.766048189990492,-1.0899866782531897,-0.7784155201241212,1.961281878362848,Group 3,3,0.6454972243679028
Mike Glennon,-0.5214269623569046,-1.3883300493288637,-0.4315793215739276,1.1072129251615415,Group 3,3,0.6454972243679028
JaMarcus Russell,0.5887691028971423,-0.5153854422698322,-0.8334497677788341,1.9868522495154934,Group 3,1,1.118033988749895
Derek Anderson,-1.1983965027196428,-1.2179448227838192,0.3684086008655048,0.8382617554747551,Group 3,6,0.4564354645876384
Brock Osweiler,-0.3256328946522735,-0.21246782594752794,-0.8962813773568601,2.101821393547607,Group 3,2,0.7905694150420948
Matt Ryan,-0.9499005511004623,-0.6983606513600998,0.4124105499322053,0.6003546336801179,Group 3,1,1.118033988749895
Philip Rivers,0.32631891047954303,-0.9595050644114302,1.25708234023425,0.651452444208282,Group 3,1,1.118033988749895
